TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2022,2,21,6,15,13XX RICHARDS ST,Central Business District,490833.7723,5457995.6889
Break and Enter Commercial,2022,3,1,16,45,13XX W 11TH AVE,Fairview,490119.7683,5456547.169
Break and Enter Commercial,2022,2,8,18,0,13XX W GEORGIA ST,West End,490695.4261,5459565.9646
Break and Enter Commercial,2022,1,5,4,30,14XX COMMERCIAL DR,Grandview-Woodland,494940.7752,5457692.1863
Break and Enter Commercial,2022,1,8,14,0,14XX GRANVILLE ST,Central Business District,490524.4017,5457970.2186
Break and Enter Commercial,2022,3,7,15,1,14XX HARO ST,West End,490468.6313,5459402.7684
Break and Enter Commercial,2022,1,17,13,46,14XX HARWOOD ST,West End,489920.5768,5458850.8093
Break and Enter Commercial,2022,2,14,10,0,14XX LAMEYS MILL RD,Fairview,490007.6948,5457360.3881
Break and Enter Commercial,2022,2,16,23,8,14XX LAMEYS MILL RD,Fairview,490007.6948,5457360.3881
Break and Enter Commercial,2022,2,13,13,48,14XX PENNYFARTHING DR,Fairview,489734.6938,5457789.7878
Break and Enter Commercial,2022,2,26,6,19,14XX ROBSON ST,West End,490477.6092,5459535.5363
Break and Enter Commercial,2022,2,14,21,0,14XX W 6TH AVE,Fairview,490011.9596,5457049.4044
Break and Enter Commercial,2022,3,11,0,40,14XX W GEORGIA ST,West End,490628.8949,5459632.8253
Break and Enter Commercial,2022,2,4,7,59,14XX W GEORGIA ST,Central Business District,490664.9304,5459609.2937
Break and Enter Commercial,2022,3,8,6,36,14XX WILLIAM ST,Grandview-Woodland,494540.2306,5457923.7314
Break and Enter Commercial,2022,3,22,2,14,15XX ALBERNI ST,West End,490481.6141,5459687.9442
Break and Enter Commercial,2022,1,7,7,57,15XX BOUNDARY RD,Hastings-Sunrise,498273.5953,5457510.695
Break and Enter Commercial,2022,1,16,13,46,15XX BOUNDARY RD,Hastings-Sunrise,498273.5953,5457510.695
Break and Enter Commercial,2022,1,4,19,0,15XX COMMERCIAL DR,Grandview-Woodland,494938.4919,5457561.5541
Break and Enter Commercial,2022,1,1,3,54,15XX COMOX ST,West End,490125.8866,5459265.2998
Break and Enter Commercial,2022,1,10,10,0,15XX E 4TH AVE,Grandview-Woodland,494739.0716,5457122.9209
Break and Enter Commercial,2022,2,18,10,9,15XX E 55TH AVE,Victoria-Fraserview,494582.7156,5451871.4411
Break and Enter Commercial,2022,1,30,10,14,15XX E 8TH AVE,Grandview-Woodland,494699.3635,5456731.2422
Break and Enter Commercial,2022,2,14,9,45,15XX ROBSON ST,West End,490441.61,5459583.9461
Break and Enter Commercial,2022,1,7,5,16,15XX W 2ND AVE,Fairview,489827.9865,5457441.996
Break and Enter Commercial,2022,3,19,13,35,16XX BEACH AVE,West End,489679.4415,5458940.0624
Break and Enter Commercial,2022,1,8,10,45,16XX CHESTNUT ST,Kitsilano,489345.3387,5457577.9863
Break and Enter Commercial,2022,1,28,0,0,16XX E 4TH AVE,Grandview-Woodland,494833.5907,5457131.2908
Break and Enter Commercial,2022,3,11,20,19,16XX KINGSWAY AVE,Kensington-Cedar Cottage,494862.4563,5454987.947
Break and Enter Commercial,2022,1,20,3,26,16XX KINGSWAY AVE,Kensington-Cedar Cottage,494883.1389,5454973.2492
Break and Enter Commercial,2022,2,14,1,15,16XX KINGSWAY AVE,Kensington-Cedar Cottage,494885.0191,5454971.9131
Break and Enter Commercial,2022,1,11,23,30,16XX KINGSWAY AVE,Kensington-Cedar Cottage,494895.9566,5454975.3582
Break and Enter Commercial,2022,2,12,6,18,16XX ROBSON ST,West End,490361.0873,5459651.4651
Break and Enter Commercial,2022,2,1,17,47,16XX VENABLES ST,Grandview-Woodland,494869.2616,5458210.9061
Break and Enter Commercial,2022,1,7,4,31,16XX W 1ST AVE,Fairview,489595.9378,5457545.8746
Break and Enter Commercial,2022,2,12,3,26,16XX W 2ND AVE,Fairview,489629.9826,5457456.2071
Break and Enter Commercial,2022,1,12,23,0,17XX ALBERNI ST,West End,490316.9427,5459864.4127
Break and Enter Commercial,2022,1,14,23,0,17XX BARCLAY ST,West End,490052.6327,5459663.7863
Break and Enter Commercial,2022,2,24,5,46,17XX COLUMBIA ST,Mount Pleasant,492045.6385,5457490.5823
Break and Enter Commercial,2022,3,25,3,0,17XX COMMERCIAL DR,Grandview-Woodland,494935.9067,5457390.5278
Break and Enter Commercial,2022,1,21,5,30,17XX COOK ST,Mount Pleasant,491985.4188,5457397.3966
Break and Enter Commercial,2022,2,24,1,20,17XX DAVIE ST,West End,489717.8553,5459363.1112
Break and Enter Commercial,2022,1,20,23,26,17XX E 11TH AVE,Kensington-Cedar Cottage,495003.0012,5456415.7877
Break and Enter Commercial,2022,1,28,2,5,17XX E HASTINGS ST,Grandview-Woodland,494893.265,5458719.3107
Break and Enter Commercial,2022,3,8,23,52,17XX E HASTINGS ST,Grandview-Woodland,494940.3475,5458719.0045
Break and Enter Commercial,2022,2,14,21,24,17XX E HASTINGS ST,Grandview-Woodland,494984.4873,5458718.7174
Break and Enter Commercial,2022,2,25,2,33,17XX KINGSWAY AVE,Kensington-Cedar Cottage,495048.0371,5454853.9171
Break and Enter Commercial,2022,2,23,13,0,17XX MANITOBA ST,Mount Pleasant,492238.4116,5457415.937
Break and Enter Commercial,2022,2,7,6,9,17XX NAPIER ST,Grandview-Woodland,495047.6547,5458017.7485
Break and Enter Commercial,2022,1,2,6,47,17XX ONTARIO ST,Mount Pleasant,492391.6645,5457401.8466
Break and Enter Commercial,2022,1,27,1,49,17XX ONTARIO ST,Mount Pleasant,492391.7761,5457408.0355
Break and Enter Commercial,2022,1,14,10,6,17XX QUEBEC ST,Mount Pleasant,492523.5785,5457415.4789
Break and Enter Commercial,2022,3,9,7,47,17XX VERNON DR,Strathcona,494267.6584,5457357.4804
Break and Enter Commercial,2022,4,5,12,24,17XX W 4TH AVE,Fairview,489563.8834,5457250.601
Break and Enter Commercial,2022,2,13,6,0,18XX E GEORGIA ST,Grandview-Woodland,495056.8482,5458408.519
Break and Enter Commercial,2022,2,21,0,47,18XX E HASTINGS ST,Grandview-Woodland,495077.01,5458717.6521
Break and Enter Commercial,2022,1,29,22,59,18XX FRANKLIN ST,Grandview-Woodland,495097.2208,5458828.9097
Break and Enter Commercial,2022,3,26,8,22,18XX GREER AVE,Kitsilano,489302.6085,5457879.2516
Break and Enter Commercial,2022,2,8,10,59,18XX HARO ST,West End,489971.9068,5459883.5821
Break and Enter Commercial,2022,2,8,2,59,18XX W 3RD AVE,Kitsilano,489360.6693,5457365.4373
Break and Enter Commercial,2022,2,10,22,0,19XX HARO ST,West End,489936.0222,5459932.2669
Break and Enter Commercial,2022,3,30,11,16,19XX MAIN ST,Mount Pleasant,492675.0328,5457225.1096
Break and Enter Commercial,2022,2,3,18,30,19XX PENDRELL ST,West End,489581.8881,5459666.7039
Break and Enter Commercial,2022,2,7,5,13,19XX ROBSON ST,West End,489974.307,5460038.3732
Break and Enter Commercial,2022,1,24,3,11,19XX SW MARINE DR,Kerrisdale,489032.7097,5450950.4255
Break and Enter Commercial,2022,1,4,5,9,19XX W 4TH AVE,Kitsilano,489071.1772,5457263.8765
Break and Enter Commercial,2022,2,12,5,56,19XX W 4TH AVE,Kitsilano,489071.1772,5457263.8765
Break and Enter Commercial,2022,4,7,12,46,19XX W 4TH AVE,Kitsilano,489125.0267,5457262.5178
Break and Enter Commercial,2022,2,1,5,0,1X E 5TH AVE,Mount Pleasant,492407.6073,5457090.7237
Break and Enter Commercial,2022,3,3,2,20,1X E CORDOVA ST,Central Business District,492434.5427,5458850.3408
Break and Enter Commercial,2022,2,3,13,45,1X NANAIMO ST,Hastings-Sunrise,495893.6896,5459096.4762
Break and Enter Commercial,2022,2,16,4,19,1X SE MARINE DR,Sunset,492307.6758,5451035.101
Break and Enter Commercial,2022,1,4,4,42,1X W BROADWAY AVE,Mount Pleasant,492343.0137,5456705.1434
Break and Enter Commercial,2022,3,14,23,46,1X W CORDOVA ST,Central Business District,492385.3601,5458872.4547
Break and Enter Commercial,2022,2,16,13,24,1XX ALEXANDER ST,Central Business District,492677.389,5459041.9621
Break and Enter Commercial,2022,1,27,4,49,1XX DAVIE ST,Central Business District,491245.7961,5457863.7676
Break and Enter Commercial,2022,1,4,22,0,1XX E 2ND AVE,Mount Pleasant,492641.5675,5457373.8013
Break and Enter Commercial,2022,3,27,11,48,1XX E 3RD AVE,Mount Pleasant,492541.153,5457285.0652
Break and Enter Commercial,2022,2,2,0,0,1XX E BROADWAY AVE,Mount Pleasant,492521.2571,5456698.3698
Break and Enter Commercial,2022,2,17,3,41,1XX E CORDOVA ST,Central Business District,492585.3551,5458852.5211
Break and Enter Commercial,2022,3,15,2,33,1XX E CORDOVA ST,Central Business District,492585.3551,5458852.5211
Break and Enter Commercial,2022,1,2,18,35,1XX E CORDOVA ST,Central Business District,492659.8823,5458840.7683
Break and Enter Commercial,2022,2,10,6,7,1XX E PENDER ST,Central Business District,492591.6148,5458640.6254
Break and Enter Commercial,2022,3,8,18,0,1XX E PENDER ST,Central Business District,492591.6148,5458640.6254
Break and Enter Commercial,2022,1,20,4,42,1XX KEEFER PL,Central Business District,492120.9678,5458563.1128
Break and Enter Commercial,2022,3,17,22,50,1XX KEEFER PL,Central Business District,492122.6441,5458572.1096
Break and Enter Commercial,2022,2,27,23,30,1XX KEEFER ST,Central Business District,492710.4372,5458526.6515
Break and Enter Commercial,2022,3,14,5,9,1XX KEEFER ST,Central Business District,492710.4372,5458526.6515
Break and Enter Commercial,2022,3,10,1,41,1XX KEEFER ST,Central Business District,492718.2249,5458535.5452
Break and Enter Commercial,2022,1,16,19,0,1XX ONTARIO PL,Sunset,492588.7471,5453315.0923
Break and Enter Commercial,2022,2,4,3,0,1XX ROBSON ST,Central Business District,491662.6843,5458373.1872
Break and Enter Commercial,2022,3,6,1,10,1XX SMITHE ST,Central Business District,491537.1266,5458264.4107
Break and Enter Commercial,2022,3,13,22,14,1XX SMITHE ST,Central Business District,491537.1266,5458264.4107
Break and Enter Commercial,2022,2,4,1,41,1XX W 2ND AVE,Mount Pleasant,492084.0056,5457404.4503
Break and Enter Commercial,2022,1,25,4,38,1XX W 2ND AVE,Mount Pleasant,492186.0698,5457402.1218
Break and Enter Commercial,2022,3,7,8,10,1XX W HASTINGS ST,Central Business District,492029.2548,5458865.5109
Break and Enter Commercial,2022,1,11,3,0,1XX W HASTINGS ST,Central Business District,492148.8419,5458822.678
Break and Enter Commercial,2022,4,4,6,50,1XX W HASTINGS ST,Central Business District,492148.8419,5458822.678
Break and Enter Commercial,2022,1,18,4,34,1XX W HASTINGS ST,Central Business District,492197.2022,5458808.1371
Break and Enter Commercial,2022,2,17,3,30,1XX WALTER HARDWICK AVE,Mount Pleasant,492192.1174,5457576.8386
Break and Enter Commercial,2022,1,2,18,0,1XX WATER ST,Central Business District,492207.2193,5459040.0554
Break and Enter Commercial,2022,3,15,7,36,1XX WATER ST,Central Business District,492236.942,5459032.1182
Break and Enter Commercial,2022,3,20,18,0,1XX WATER ST,Central Business District,492236.942,5459032.1182
Break and Enter Commercial,2022,3,2,15,23,20XX COMMERCIAL DR,Grandview-Woodland,494923.7845,5457071.9661
Break and Enter Commercial,2022,4,3,3,40,20XX E HASTINGS ST,Grandview-Woodland,495484.6911,5458711.1153
Break and Enter Commercial,2022,2,27,16,30,20XX MANITOBA ST,Mount Pleasant,492243.8299,5457179.486
Break and Enter Commercial,2022,1,26,16,59,20XX W 43RD AVE,Kerrisdale,488734.5972,5453340.5422
Break and Enter Commercial,2022,1,29,17,30,20XX W 46TH AVE,Kerrisdale,488716.933,5453017.0802
Break and Enter Commercial,2022,3,15,21,30,20XX W 4TH AVE,Kitsilano,489000.9711,5457274.7486
Break and Enter Commercial,2022,1,11,19,55,20XX W 5TH AVE,Kitsilano,488945.9082,5457179.6189
Break and Enter Commercial,2022,1,9,5,44,20XX W BROADWAY AVE,Kitsilano,488894.7179,5456790.2995
Break and Enter Commercial,2022,2,11,0,19,20XX W BROADWAY AVE,Kitsilano,488894.7179,5456790.2995
Break and Enter Commercial,2022,4,2,23,24,20XX WOODLAND DR,Grandview-Woodland,494643.2071,5457075.2969
Break and Enter Commercial,2022,1,24,18,0,21XX KINGSWAY AVE,Kensington-Cedar Cottage,495412.2978,5454593.4778
Break and Enter Commercial,2022,3,19,11,29,21XX KINGSWAY AVE,Kensington-Cedar Cottage,495412.2978,5454593.4778
Break and Enter Commercial,2022,3,26,10,24,21XX KINGSWAY AVE,Kensington-Cedar Cottage,495423.1678,5454596.8387
Break and Enter Commercial,2022,1,7,2,0,21XX KINGSWAY AVE,Kensington-Cedar Cottage,495428.609,5454581.4955
Break and Enter Commercial,2022,1,15,3,13,21XX KINGSWAY AVE,Kensington-Cedar Cottage,495428.609,5454581.4955
Break and Enter Commercial,2022,2,13,2,31,21XX LAHB AVE,Arbutus Ridge,488843.4823,5455092.3059
Break and Enter Commercial,2022,1,19,9,0,21XX PANDORA ST,Grandview-Woodland,495563.3592,5458925.4883
Break and Enter Commercial,2022,2,22,0,0,21XX W 38TH AVE,Arbutus Ridge,488509.6555,5453849.1412
Break and Enter Commercial,2022,2,9,1,45,21XX W 39TH AVE,Arbutus Ridge,488521.7229,5453759.5672
Break and Enter Commercial,2022,1,18,4,0,21XX W 46TH AVE,Kerrisdale,488637.799,5453018.7611
Break and Enter Commercial,2022,1,8,22,15,21XX W 4TH AVE,Kitsilano,488818.0214,5457279.25
Break and Enter Commercial,2022,1,12,4,13,21XX W 4TH AVE,Kitsilano,488880.804,5457277.688
Break and Enter Commercial,2022,3,23,4,21,21XX W 4TH AVE,Kitsilano,488880.804,5457277.688
Break and Enter Commercial,2022,3,4,5,58,22XX COMMERCIAL DR,Grandview-Woodland,494930.5346,5456913.5832
Break and Enter Commercial,2022,1,13,14,20,22XX E 1ST AVE,Grandview-Woodland,495691.7688,5457413.1903
Break and Enter Commercial,2022,1,10,7,35,22XX E BROADWAY AVE,Grandview-Woodland,495674.5792,5456615.6684
Break and Enter Commercial,2022,2,7,0,45,22XX KINGSWAY AVE,Kensington-Cedar Cottage,495559.1513,5454487.8078
Break and Enter Commercial,2022,1,18,11,32,22XX LAUREL ST,Fairview,490975.6443,5456948.8723
Break and Enter Commercial,2022,3,3,21,0,22XX W 41ST AVE,Arbutus Ridge,488450.7904,5453555.8642
Break and Enter Commercial,2022,2,15,22,0,22XX YORK AVE,Kitsilano,488629.6008,5457677.379
Break and Enter Commercial,2022,2,14,6,30,23XX BURRARD ST,Kitsilano,489393.5419,5456929.9794
Break and Enter Commercial,2022,4,7,5,56,23XX MAIN ST,Mount Pleasant,492646.8671,5456840.1396
Break and Enter Commercial,2022,1,14,15,0,23XX W 41ST AVE,Arbutus Ridge,488349.8804,5453558.6929
Break and Enter Commercial,2022,2,13,3,20,24XX BLENHEIM ST,Kitsilano,487059.8694,5456869.8151
Break and Enter Commercial,2022,2,10,8,14,24XX COLUMBIA ST,Mount Pleasant,492030.2603,5456778.662
Break and Enter Commercial,2022,2,11,17,0,24XX E HASTINGS ST,Hastings-Sunrise,496006.8112,5458709.4101
Break and Enter Commercial,2022,3,21,10,25,24XX KINGSWAY AVE,Renfrew-Collingwood,495958.4128,5454219.578
Break and Enter Commercial,2022,4,4,11,6,24XX KINGSWAY AVE,Renfrew-Collingwood,495958.4128,5454219.578
Break and Enter Commercial,2022,2,16,16,39,24XX MAIN ST,Mount Pleasant,492644.7214,5456749.5725
Break and Enter Commercial,2022,3,27,6,18,24XX MAIN ST,Mount Pleasant,492665.9783,5456761.4717
Break and Enter Commercial,2022,2,22,4,20,24XX NANAIMO ST,Hastings-Sunrise,495888.3775,5456680.6106
Break and Enter Commercial,2022,3,23,21,53,24XX ST CATHERINES ST,Mount Pleasant,493794.1565,5456716.1698
Break and Enter Commercial,2022,2,17,10,0,24XX W 43RD AVE,Kerrisdale,488240.2434,5453354.5133
Break and Enter Commercial,2022,2,14,3,37,25XX ARBUTUS ST,Kitsilano,488875.3133,5456713.2032
Break and Enter Commercial,2022,3,30,4,0,25XX DISCOVERY ST,West Point Grey,485225.9833,5456838.0394
Break and Enter Commercial,2022,2,25,11,54,25XX FRASER ST,Mount Pleasant,493519.2337,5456628.786
Break and Enter Commercial,2022,1,12,3,46,25XX GRANVILLE ST,Fairview,489924.6201,5456667.2479
